Date,mean,lower,upper,holiady
10/07/2017,1563,1330,1838,0
10/08/2017,1714,1277,2299,0
10/09/2017,1985,1467,2684,0
10/10/2017,1759,1252,2472,0
10/11/2017,2258,1607,3172,0
10/12/2017,2328,1573,3445,0
10/13/2017,1801,1400,2316,0
10/14/2017,1613,1338,1945,0
10/15/2017,1692,1285,2229,0
10/16/2017,1870,1412,2476,0
10/17/2017,1964,1515,2546,0
10/18/2017,2124,1563,2887,0
10/19/2017,2250,1630,3106,0
10/20/2017,2084,1647,2637,0
10/21/2017,1716,1453,2027,0
10/22/2017,1561,1316,1853,0
10/23/2017,1860,1493,2318,0
10/24/2017,1942,1495,2522,0
10/25/2017,1693,1285,2230,0
10/26/2017,2351,1566,3530,0
10/27/2017,1923,1423,2599,0
10/28/2017,1628,1291,2054,0
10/29/2017,1570,1152,2140,0
10/30/2017,2088,1549,2815,0
10/31/2017,1754,1243,2476,0
11/01/2017,2034,1472,2811,0
11/02/2017,2437,1635,3632,0
11/03/2017,2043,1503,2777,0
11/04/2017,1577,1258,1977,0
11/05/2017,1634,1340,1991,0
11/06/2017,2487,1863,3320,0
11/07/2017,2416,1662,3513,0
11/08/2017,2424,1619,3627,0
11/09/2017,1856,1430,2409,0
11/10/2017,1817,1386,2382,0
11/11/2017,1545,1317,1813,0
11/12/2017,1611,1378,1883,1
11/13/2017,1919,1488,2474,0
11/14/2017,2400,1842,3128,0
11/15/2017,1951,1553,2450,0
11/16/2017,1823,1408,2360,0
11/17/2017,2495,1911,3258,0
11/18/2017,1520,1233,1874,0
11/19/2017,1457,1261,1683,0
11/20/2017,1893,1468,2440,0
11/21/2017,1738,1423,2122,0
11/22/2017,1860,1455,2376,1
11/23/2017,1668,1350,2061,0
11/24/2017,1559,1314,1849,0
11/25/2017,1765,1457,2138,0
11/26/2017,1531,1348,1739,0
11/27/2017,1949,1518,2502,0
11/28/2017,1838,1303,2593,0
11/29/2017,1745,1375,2213,0
11/30/2017,1589,1205,2095,0
12/01/2017,1750,1289,2376,0
12/02/2017,1632,1373,1941,0
12/03/2017,1511,1310,1743,0
12/04/2017,2024,1578,2595,0
12/05/2017,2323,1771,3046,0
12/06/2017,1576,1352,1836,0
12/07/2017,1810,1459,2245,0
12/08/2017,1874,1428,2459,0
12/09/2017,1665,1325,2092,0
12/10/2017,1519,1250,1846,0
12/11/2017,1778,1306,2421,0
12/12/2017,1638,1363,1969,0
12/13/2017,1756,1335,2309,0
12/14/2017,2235,1887,2647,0
12/15/2017,1743,1272,2388,0
12/16/2017,1750,1447,2118,0
12/17/2017,1548,1254,1912,0
12/18/2017,2009,1469,2747,0
12/19/2017,1767,1429,2184,0
12/20/2017,1868,1516,2302,0
12/21/2017,2013,1667,2430,0
12/22/2017,1644,1380,1958,0
12/23/2017,1725,1426,2088,0
12/24/2017,1465,1157,1855,1
12/25/2017,1669,1408,1978,1
12/26/2017,1834,1421,2368,0
12/27/2017,1912,1645,2223,0
12/28/2017,1703,1343,2160,0
12/29/2017,1319,1175,1480,0
12/30/2017,1602,1297,1978,0
12/31/2017,1376,1082,1749,0
01/01/2018,1601,1260,2035,1
01/02/2018,1908,1501,2425,0
01/03/2018,,,,0
01/04/2018,1953,1553,2455,0
01/05/2018,1878,1483,2378,0
01/06/2018,,,,0
01/07/2018,1569,1231,2000,0
01/08/2018,2105,1485,2984,0
01/09/2018,2107,1692,2625,0
01/10/2018,,,,0
01/11/2018,,,,0
01/12/2018,1773,1352,2325,0
01/13/2018,1604,1356,1897,0
01/14/2018,1616,1344,1943,0
01/15/2018,1631,1352,1967,1
01/16/2018,1833,1417,2372,0
01/17/2018,,,,0
01/18/2018,1791,1441,2225,0
01/19/2018,2187,1900,2517,0
01/20/2018,1580,1256,1987,0
01/21/2018,1669,1407,1981,0
01/22/2018,1931,1670,2232,0
01/23/2018,1867,1407,2477,0
01/24/2018,,,,0
01/25/2018,1816,1552,2125,0
01/26/2018,1891,1295,2761,0
01/27/2018,1902,1414,2559,0
01/28/2018,1589,1308,1931,0
01/29/2018,2032,1701,2426,0
01/30/2018,1653,1430,1910,0
01/31/2018,1913,1449,2523,0
02/01/2018,2039,1421,2925,0
02/02/2018,1709,1311,2228,0
02/03/2018,1525,1148,2025,0
02/04/2018,1596,1230,2071,0
02/05/2018,1949,1516,2506,0
02/06/2018,1504,1303,1735,0
02/07/2018,1861,1447,2392,0
02/08/2018,1976,1586,2463,0
02/09/2018,2202,1720,2819,0
02/10/2018,,,,0
02/11/2018,1545,1268,1883,0
02/12/2018,1698,1326,2173,0
02/13/2018,2266,1598,3213,0
02/14/2018,2111,1573,2833,0
02/15/2018,1835,1408,2393,0
02/16/2018,1856,1406,2451,0
02/17/2018,1417,1198,1677,0
02/18/2018,1617,1276,2049,0
02/19/2018,1673,1368,2046,1
02/20/2018,1997,1462,2728,0
02/21/2018,1855,1459,2359,0
02/22/2018,1838,1468,2301,0
02/23/2018,1953,1569,2431,0
02/24/2018,1742,1365,2223,0
02/25/2018,1677,1258,2236,0
02/26/2018,2188,1494,3204,0
02/27/2018,2159,1675,2782,0
02/28/2018,2154,1593,2913,0
03/01/2018,1914,1536,2384,0
03/02/2018,1897,1440,2500,0
03/03/2018,1484,1066,2067,0
03/04/2018,1542,1205,1973,0
03/05/2018,1760,1374,2254,0
03/06/2018,1805,1238,2633,0
03/07/2018,1975,1590,2453,0
03/08/2018,1976,1596,2445,0
03/09/2018,2067,1505,2839,0
03/10/2018,1614,1249,2085,0
03/11/2018,1690,1337,2135,0
03/12/2018,2003,1527,2627,0
03/13/2018,2018,1592,2558,0
03/14/2018,1948,1681,2257,0
03/15/2018,2023,1528,2678,0
03/16/2018,1803,1360,2390,0
03/17/2018,1464,1188,1803,0
03/18/2018,1572,1015,2435,0
03/19/2018,2269,1781,2890,0
03/20/2018,2172,1612,2927,0
03/21/2018,1853,1431,2399,0
03/22/2018,2098,1674,2630,0
03/23/2018,2196,1727,2792,0
03/24/2018,1647,1228,2210,0
03/25/2018,1839,1497,2260,0
03/26/2018,2070,1737,2466,0
03/27/2018,1834,1399,2405,0
03/28/2018,1981,1481,2649,0
03/29/2018,1942,1535,2458,0
03/30/2018,1793,1437,2238,0
03/31/2018,1963,1435,2685,1
